filename,category,tags,description,permalink,year,x,y
112B_571.jpg,Outlier,,WEENIX JanBaptiste: Venditrice di erbaggi,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F112B%2F112B_571.jpg/full/full/0/default.jpg,1639.0,-40.79636,-1.354221
29B_659.jpg,Outlier,,ALLORI Cristoforo: Uomo inginocchiato Carboncino lumeggiato a biacca su carta grigia  298 x 204,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F29B%2F29B_659.jpg/full/full/0/default.jpg,1595.0,7.993937,-21.711922
147A_683.jpg,Outlier,,SEC XVI: Armadio in noce intagliato,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F147A%2F147A_683.jpg/full/full/0/default.jpg,1500.0,44.901394,34.435062
2A_268.jpg,Outlier,,CAMPAGNOLA Domenico: L Adorazione dei lagi Penna inchiostro bruno su tracce di carboncino mm 377 x 524,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F2A%2F2A_268.jpg/full/full/0/default.jpg,1518.0,5.0442114,38.256744
14A_300.jpg,Outlier,,BURGKMAIR Hans : Carro con musici Penna lumeggiata su carta bruna 210 x 368,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F14A%2F14A_300.jpg/full/full/0/default.jpg,1491.0,13.865476,34.637856
15B_13.jpg,Outlier,,GOLTZIUS Hendrick: Tre pose per lo studio di un ritratto d uomo con cappello Punta di metallo su carta giallina 148 x 130,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F15B%2F15B_13.jpg/full/full/0/default.jpg,1576.0,-18.190098,-53.649307
147A_433.jpg,Outlier,,CIVITALI Matteo: Decollazione di S Regolo,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F147A%2F147A_433.jpg/full/full/0/default.jpg,1454.0,34.231808,39.05623
150B_308.jpg,Outlier,,SODOMA il: Cristo alla Colonna cm 140 x 101,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F150B%2F150B_308.jpg/full/full/0/default.jpg,1495.0,10.733549,3.391641
55A_326.jpg,Outlier,,PALMA Jacopo il Giovane: Resurrezione di Lazzaro cm 54 x 64,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F55A%2F55A_326.jpg/full/full/0/default.jpg,1562.0,-22.014486,27.940979
16B_33.jpg,Outlier,,ORSI Lelio: LAssunta Penna acquerello lumeggiato a biacca su carta tinta in bruno  400 x 297,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F16B%2F16B_33.jpg/full/full/0/default.jpg,1526.0,-11.385767,55.829266
125A_188.jpg,Outlier,,RAFFAELLO Sanzio: Lo Sposalizio della Vergine,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F125A%2F125A_188.jpg/full/full/0/default.jpg,1501.0,-14.956866,55.34774
33C_360.jpg,Outlier,,TINTORETTO Jacopo: Studio di filosofo,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F33C%2F33C_360.jpg/full/full/0/default.jpg,1537.0,4.4114733,-42.538578
132A_218.jpg,Outlier,,BOTTICELLI Sandro: La lMadonna ool Bambino e S Giovanni,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F132A%2F132A_218.jpg/full/full/0/default.jpg,1462.0,-23.840433,-29.972631
48B_359.jpg,Outlier,,CARPACCIO Vittore: S Giorgio uccide il drageo,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F48B%2F48B_359.jpg/full/full/0/default.jpg,1473.0,12.104532,38.342983
65B_626.jpg,Outlier,,CAMPAGNOLA Domenico: Motivo decorativo,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F65B%2F65B_626.jpg/full/full/0/default.jpg,1518.0,33.3225,49.362907
36B_355.jpg,Outlier,,MOCETTO Girolamo: Satiri,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F36B%2F36B_355.jpg/full/full/0/default.jpg,1478.0,38.423946,12.513545
163A_174.jpg,Outlier,,TINTORETTO Jacopo: Studio per la figura di un Santo guerriero,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F163A%2F163A_174.jpg/full/full/0/default.jpg,1537.0,35.023537,-17.880451
30B_156.jpg,Outlier,,BUONTALENTI Bernardo: Disegno per monumento funebre con stemma Medici Sanguigna 224 x 331,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F30B%2F30B_156.jpg/full/full/0/default.jpg,1549.0,44.920555,26.740881
111B_407.jpg,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F111B%2F111B_407.jpg/full/full/0/default.jpg,1553.0,12.72858,7.3224125
111B_407.jpg,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F111B%2F111B_407.jpg/full/full/0/default.jpg,1553.0,12.72858,7.3224125
111B_407.jpg,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F111B%2F111B_407.jpg/full/full/0/default.jpg,1553.0,12.72858,7.3224125
111B_407.jpg,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,,CALVAERT Dionisio: Gesu Cristo flagellato 150 x 67,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F111B%2F111B_407.jpg/full/full/0/default.jpg,1553.0,12.72858,7.3224125
